A,C,P,B,L,R,LA
2,8,86,47.5389,304.933,0.88,48
2,8,88,45.3862,204.133,0.98,49
2,8,89,48.2083,259.067,0.96,50
2,8,90,49.1397,314.533,0.92,51
1,1,60,10.8298,436.667,0.6,52
1,1,69,10.9014,250,0.8,53
1,2,72,10.8982,196.667,0.8,54
1,2,87,13.1346,233.333,0.8,55
1,4,60,13.1736,153.333,0.86,56
1,5,60,15.358,336.667,0.66,57
1,5,91,11.583,176.667,0.86,58
1,6,91,13.7967,240,0.8,59
1,7,60,19.8308,343.333,0.72,60
1,7,91,22.0672,322.222,0.7,61
1,7,92,22.0802,263.265,0.76,62
1,8,60,20.1862,260,0.8,63
1,8,63,22.0151,433.333,0.68,64
1,8,88,24.3199,323.333,0.74,65
1,8,90,24.2711,430,0.72,66
3,1,60,20.7086,163.733,0.98,0
3,1,69,18.7235,150.2,1,1
3,2,60,24.9805,130.2,1,2
3,2,72,28.9971,130.2,1,3
3,2,87,25.8428,174.133,0.98,4
3,4,60,31.7858,150.6,1,5
3,4,90,28.1256,170.2,1,6
3,5,60,36.8573,180.2,1,7
3,5,91,31.4439,180.2,1,8
3,5,92,31.4439,190.4,1,9
3,6,91,39.0007,254.133,0.98,10
3,6,92,38.9585,230.2,1,11
3,7,60,41.4722,221.6,1,12
3,7,64,41.6032,243.533,0.98,13
3,7,91,45.1241,281.2,1,14
3,7,92,45.2811,270.6,1,15
3,8,60,46.9985,240.4,1,16
3,8,63,50.8906,240.8,1,17
3,8,64,50.8678,251.2,1,18
3,8,71,50.819,260.612,0.98,19
3,8,72,51.0411,270.4,1,20
3,8,86,49.1243,291,1,21
3,8,88,47.1644,270.2,1,22
3,8,89,49.98,320.4,1,23
3,8,90,50.8691,364.733,0.98,24
2,1,60,19.983,166.463,0.9,25
2,1,69,18.0077,137.067,0.96,26
2,2,60,24.3363,170.867,0.92,27
2,2,72,28.3495,127.867,0.96,28
2,2,87,24.9797,124.133,0.98,29
2,4,60,30.9325,100.8,1,30
2,4,79,31.083,137.467,0.96,31
2,4,90,27.2365,147.467,0.96,32
2,5,60,35.8145,153.733,0.98,33
2,5,79,36.0105,164.533,0.98,34
2,5,91,30.3978,164.133,0.98,35
2,5,92,30.4238,154.733,0.98,36
2,6,60,32.2063,145.533,0.98,37
2,6,91,37.8237,235.733,0.92,38
2,6,92,37.7814,238.067,0.92,39
2,7,60,40.0113,178.267,0.96,40
2,7,64,40.2431,227.467,0.92,41
2,7,91,43.5419,287.133,0.86,42
2,7,92,43.7705,229.067,0.96,43
2,8,60,45.4391,240.4,0.88,44
2,8,63,49.3116,208.067,0.96,45
2,8,64,49.3051,219.067,0.96,46
2,8,72,49.3906,240.2,0.94,47
2,8,86,47.5031,280.68,0.9,48
2,8,88,45.4155,261.467,0.92,49
2,8,89,48.2376,310.8,0.88,50
2,8,90,49.0974,342.2,0.88,51
1,1,60,10.8136,594.218,0.5,52
1,1,69,10.8494,349.32,0.7,53
1,2,72,10.8526,316.667,0.7,54
1,2,87,13.1411,166.667,0.84,55
1,4,60,13.1541,166.667,0.86,56
1,5,60,15.3872,282.766,0.72,57
1,5,91,11.505,296.667,0.72,58
1,6,91,13.6275,533.333,0.56,59
1,7,60,19.7885,476.667,0.62,60
1,7,91,21.9078,603.401,0.52,61
1,7,92,21.9924,473.333,0.64,62
1,8,60,20.1212,433.333,0.64,63
1,8,63,22.0054,486.667,0.6,64
1,8,88,24.1865,463.741,0.64,65
1,8,90,24.3199,323.333,0.72,66
3,1,60,20.65,177.067,0.96,0
3,1,69,18.7072,150.2,1,1
3,2,60,24.987,130.8,1,2
3,2,72,29.0003,130.4,1,3
3,2,87,25.859,160,1,4
3,4,60,31.7825,150.2,1,5
3,4,90,28.1321,170.4,1,6
3,5,60,36.8378,180,1,7
3,5,91,31.4309,180,1,8
3,5,92,31.4374,190,1,9
3,6,91,38.9845,240.2,1,10
3,6,92,38.9585,230.2,1,11
3,7,60,41.4462,220.6,1,12
3,7,64,41.5772,230,1,13
3,7,91,45.1143,281.4,1,14
3,7,92,45.2746,270,1,15
3,8,60,47.018,240.2,1,16
3,8,63,50.8613,240.6,1,17
3,8,64,50.8515,250.4,1,18
3,8,71,50.8222,260.4,1,19
3,8,72,51.0313,270.6,1,20
3,8,86,49.1015,290.2,1,21
3,8,88,47.1774,270.2,1,22
3,8,89,49.9833,320.6,1,23
3,8,90,50.8756,351.2,1,24
2,1,60,19.9569,190.8,0.88,25
2,1,69,18.0012,124.533,0.98,26
2,2,60,24.3623,172.109,0.88,27
2,2,72,28.3072,166.667,0.92,28
2,2,87,24.996,110.8,1,29
2,4,60,30.913,101.2,1,30
2,4,79,31.1025,110.8,1,31
2,4,90,27.282,134.533,0.98,32
2,5,60,35.808,207.067,0.92,33
2,5,79,36.0105,217.667,0.9,34
2,5,91,30.44,205.333,0.92,35
2,5,92,30.4075,154.014,0.96,36
2,6,60,32.1412,143.933,0.98,37
2,6,91,37.7846,234.133,0.92,38
2,6,92,37.8074,212.041,0.92,39
2,7,60,40.1056,208.933,0.92,40
2,7,64,40.2236,174.83,0.96,41
2,7,91,43.5647,217.667,0.96,42
2,7,92,43.7379,229.467,0.96,43
2,8,60,45.4619,176.733,0.98,44
2,8,63,49.3442,262.6,0.9,45
2,8,64,49.3116,231.6,0.96,46
2,8,72,49.4329,255.133,0.94,47
2,8,86,47.5389,278.435,0.88,48
2,8,88,45.4187,204.733,0.98,49
2,8,89,48.2213,286.133,0.92,50
2,8,90,49.0682,433.733,0.84,51
1,1,60,10.8624,370,0.68,52
1,1,69,10.8559,370,0.66,53
1,2,72,10.8754,213.265,0.76,54
1,2,87,13.1638,180,0.84,55
1,4,60,13.1378,223.265,0.78,56
1,5,60,15.3938,310,0.74,57
1,5,91,11.5505,363.333,0.74,58
1,6,91,13.7218,373.333,0.66,59
1,7,60,19.808,373.688,0.66,60
1,7,91,21.8525,660,0.46,61
1,7,92,21.9403,513.333,0.58,62
1,8,60,20.1569,385.714,0.68,63
1,8,63,21.9956,460,0.62,64
1,8,88,24.2418,496.667,0.6,65
1,8,90,24.2548,550,0.62,66
